source_id	project_or_publisher	source_type	host	language	content_origin	priority	title	url	local_path	date	notes	version
GH-N9E-README	Nightingale	README	GitHub	zh-CN	original_chinese	primary	Nightingale README (Chinese)	https://github.com/ccfos/nightingale/blob/main/README_zh.md	sources/github/nightingale_README_zh.md	2026-09-04	Official repository.	v1.1.0
GH-CATEGRAF	Categraf	README	GitHub	zh-CN/mixed	original_chinese	primary	Categraf README	https://github.com/flashcatcloud/categraf/blob/main/README.md	sources/github/categraf_README.md	2026-09-04	Official repository.	v1.1.0
GH-CATEGRAF-CPU	Categraf	plugin documentation	GitHub	zh-CN	original_chinese	primary	CPU input documentation	https://github.com/flashcatcloud/categraf/blob/main/inputs/cpu/README_CN.md	sources/github/categraf_cpu_README_CN.md	2026-09-04	Official Chinese plugin documentation.	v1.1.0
GH-DEEPFLOW	DeepFlow	README	GitHub	zh-CN	original_chinese	primary	DeepFlow README (Chinese)	https://github.com/deepflowio/deepflow/blob/main/README-CN.md	sources/github/deepflow_README-CN.md	2026-09-04	Official repository.	v1.1.0
GH-EUNOMIA-INDEX	eunomia-bpf	developer tutorial	GitHub	zh-CN	original_chinese	primary	eBPF Developer Tutorial index	https://github.com/eunomia-bpf/bpf-developer-tutorial/blob/main/README.zh.md	sources/github/eunomia_tutorial_README.zh.md	2026-09-04	Official Chinese tutorial.	v1.1.0
GH-EUNOMIA-INTRO	eunomia-bpf	developer tutorial	GitHub	zh-CN	original_chinese	primary	eBPF introduction	https://github.com/eunomia-bpf/bpf-developer-tutorial/blob/main/src/0-introduce/README.zh.md	sources/github/eunomia_00_introduce.zh.md	2026-09-04	Terminology-dense overview.	v1.1.0
GH-EUNOMIA-PROFILE	eunomia-bpf	developer tutorial	GitHub	zh-CN	original_chinese	primary	Profile tutorial	https://github.com/eunomia-bpf/bpf-developer-tutorial/blob/main/src/12-profile/README.zh.md	sources/github/eunomia_12_profile.zh.md	2026-09-04	Profiling and stack terminology.	v1.1.0
GH-EUNOMIA-TC	eunomia-bpf	developer tutorial	GitHub	zh-CN	original_chinese	primary	TC tutorial	https://github.com/eunomia-bpf/bpf-developer-tutorial/blob/main/src/20-tc/README.zh.md	sources/github/eunomia_20_tc.zh.md	2026-09-04	Traffic-control terminology.	v1.1.0
GH-EUNOMIA-XDP	eunomia-bpf	developer tutorial	GitHub	zh-CN	original_chinese	primary	XDP tutorial	https://github.com/eunomia-bpf/bpf-developer-tutorial/blob/main/src/21-xdp/README.zh.md	sources/github/eunomia_21_xdp.zh.md	2026-09-04	Fast-path and packet-processing terminology.	v1.1.0
GH-COOLBPF-AGENTSIGHT	CoolBPF	README	GitHub	zh-CN	original_chinese	primary	AgentSight README (Chinese)	https://github.com/aliyun/coolbpf/blob/master/src/agentsight/README_zh.md	sources/github/coolbpf_agentsight_README_zh.md	2026-09-04	Official Alibaba repository documentation.	v1.1.0
