project	organization_or_origin	category	primary_host	repository	stars_as_of_date	forks_as_of_date	selection_note	date	version
Apache SkyWalking	Created in China; Apache Software Foundation	observability/APM/distributed tracing	GitHub	https://github.com/apache/skywalking	24940	6632	Largest GitHub star count in the reviewed China-origin observability set; active Apache project.	2026-09-04	v1.1.0
Nightingale (夜莺)	Originally Didi; donated to CCF ODC; commercial ecosystem led by Flashcat	monitoring/alerting/observability	GitHub	https://github.com/ccfos/nightingale	13276	1771	Major Chinese monitoring and alerting project; CCF-hosted.	2026-09-04	v1.1.0
Open-Falcon	Xiaomi	monitoring	GitHub	https://github.com/open-falcon/falcon-plus	7232	1510	Historically influential Chinese monitoring platform; useful for established terminology, though largely legacy.	2026-09-04	v1.1.0
DeepFlow	Yunshan Networks (云杉网络)	eBPF observability/distributed tracing/profiling	GitHub	https://github.com/deepflowio/deepflow	4253	483	Prominent China-based eBPF observability business and open-source project.	2026-09-04	v1.1.0
eBPF Developer Tutorial	eunomia-bpf community	eBPF education/tooling	GitHub	https://github.com/eunomia-bpf/bpf-developer-tutorial	4272	600	Highly starred Chinese-first eBPF tutorial corpus; strong terminology source.	2026-09-04	v1.1.0
Categraf	Flashcat	telemetry collector	GitHub	https://github.com/flashcatcloud/categraf	1310	359	Collector closely associated with Nightingale and Chinese observability deployments.	2026-09-04	v1.1.0
Kindling	KindlingProject/HarmonyCloud	eBPF cloud-native observability	GitHub	https://github.com/harmonycloud/kindling	1063	166	China-origin eBPF monitoring project; repository is relatively quiet but remains influential.	2026-09-04	v1.1.0
eunomia-bpf	eunomia-bpf community	eBPF build/runtime tooling	GitHub	https://github.com/eunomia-bpf/eunomia-bpf	898	75	China-origin eBPF toolchain associated with the widely used tutorial.	2026-09-04	v1.1.0
CoolBPF	Alibaba/Alibaba Cloud	eBPF development and diagnostics	GitHub	https://github.com/aliyun/coolbpf	291	44	Alibaba-origin eBPF SDK and white-paper source; modest stars but strong institutional relevance.	2026-09-04	v1.1.0
SysAK	OpenAnolis/Alibaba ecosystem	system diagnostics/eBPF	Gitee	https://gitee.com/anolis/sysak	172	120	Chinese-native system diagnostics toolkit with eBPF tools; Gitee popularity recorded separately from GitHub.	2026-09-04	v1.1.0
gala-gopher	openEuler/Huawei ecosystem	eBPF observability collector	Gitee	https://gitee.com/openeuler/gala-gopher	82	129	Chinese-native non-intrusive observability probe framework; Gitee repository notes migration to AtomGit.	2026-09-04	v1.1.0
Kmesh	openEuler/Huawei ecosystem	eBPF service mesh/network acceleration	Gitee	https://gitee.com/openeuler/Kmesh	40	21	Relevant to eBPF networking and bypass terminology; Gitee repository notes migration to AtomGit.	2026-09-04	v1.1.0
