term	chinese_counterpart_or_observed_usage	region_or_context	notes	source_ids	date	version
eBPF	eBPF	All reviewed Chinese technical contexts	Universally retained; optionally define once as 扩展伯克利包过滤器, but do not translate the running term.	GH-DEEPFLOW;GH-EUNOMIA-INTRO;GE-GALA-README;PDF-COOLBPF	2026-09-03	v1.0.0
BPF	BPF	Linux/eBPF	Retained as the historical subsystem/acronym; a full Chinese expansion is uncommon.	GH-EUNOMIA-INTRO;PDF-COOLBPF	2026-09-03	v1.0.0
XDP	XDP	Linux high-performance networking	Retained; optionally define once as eXpress Data Path（快速数据路径）.	GH-EUNOMIA-XDP;PDF-COOLBPF	2026-09-03	v1.0.0
TC	TC	Linux traffic control	Retained in command/program-type contexts; explain once as 流量控制.	GH-EUNOMIA-TC;GE-KMESH	2026-09-03	v1.0.0
kprobe	kprobe	Kernel tracing	Lowercase technical identifier is retained; surrounding prose uses 探针, 探测点, or 挂载点.	GH-EUNOMIA-INTRO;PDF-COOLBPF	2026-09-03	v1.0.0
kretprobe	kretprobe	Kernel tracing	Retained; explain as kernel-function return probe when needed.	PDF-COOLBPF	2026-09-03	v1.0.0
uprobe	uprobe	Userspace tracing	Retained; distinguish from kprobe by explaining 用户态探针.	GH-EUNOMIA-INDEX;PDF-COOLBPF	2026-09-03	v1.0.0
uretprobe	uretprobe	Userspace tracing	Retained; user-function return probe.	GH-EUNOMIA-INDEX;PDF-COOLBPF	2026-09-03	v1.0.0
tracepoint	tracepoint	Kernel tracing	Usually retained; 追踪点/跟踪点 may be added as an explanatory gloss.	GH-EUNOMIA-INTRO;PDF-COOLBPF	2026-09-03	v1.0.0
USDT	USDT	Userspace static tracing	Retained acronym; define once as 用户态静态定义追踪 if the audience needs it.	PDF-COOLBPF	2026-09-03	v1.0.0
BTF	BTF	eBPF type metadata	Retained; define once as BPF Type Format（BPF 类型格式）.	GH-EUNOMIA-INTRO;GE-GALA-TECH	2026-09-03	v1.0.0
CO-RE	CO-RE	eBPF portability	Retained; first use may add Compile Once – Run Everywhere（一次编译、到处运行）.	GH-EUNOMIA-INTRO;GE-GALA-TECH	2026-09-03	v1.0.0
libbpf	libbpf	eBPF development	Library name; never translate.	GH-EUNOMIA-INTRO;PDF-COOLBPF	2026-09-03	v1.0.0
bpftool	bpftool	eBPF tooling	Command/tool name; never translate.	GH-EUNOMIA-INTRO;PDF-COOLBPF	2026-09-03	v1.0.0
bpftrace	bpftrace	eBPF tracing language/tool	Project and command name; never translate. Capitalization varies in source prose (bpfTrace), but canonical name is bpftrace.	PDF-COOLBPF	2026-09-03	v1.0.0
BCC	BCC	eBPF tooling	Retained acronym/project name; optionally expand once as BPF Compiler Collection.	PDF-COOLBPF;GH-EUNOMIA-INTRO	2026-09-03	v1.0.0
perf	perf	Linux performance tool	Command/tool name; retained lowercase.	GE-GALA-README;GH-EUNOMIA-PROFILE;PDF-COOLBPF	2026-09-03	v1.0.0
map	map / eBPF map	eBPF data structure	Commonly retained in code and expert prose; explanatory Chinese is 映射 or 映射表, but avoid translating identifiers.	GH-EUNOMIA-INTRO;PDF-COOLBPF;PDF-DEEPFLOW-TKE	2026-09-03	v1.0.0
ring buffer	ring buffer / Ring Buffer	eBPF event transport	Often retained; first-use gloss 环形缓冲区 is helpful.	PDF-COOLBPF;GH-EUNOMIA-INTRO	2026-09-03	v1.0.0
hook	hook	Kernel/networking expert prose	Frequently retained as a mechanism name; translate as 钩子 or 挂载点 only when the syntactic role is clear.	GE-KMESH;PDF-COOLBPF	2026-09-03	v1.0.0
