term	chinese_counterpart	region_or_context	notes	references	date	version
metrics	指标	Mainland China; observability operations	Dominant translation when referring to measured time-series data or monitoring signals. Singular metric is also 指标.	GH-N9E-README;GH-DEEPFLOW;GE-GALA-TECH;PDF-DEEPFLOW-TKE;WEB-SW-HTTP (T)	2026-09-04	v1.1.0
metrics	度量	Mainland China; specifications/conceptual prose	More literal translation used for the measurement concept or section heading; less common than 指标 in product UI and operations prose.	WEB-SW-MESH (T);WEB-OTEL-METRICS (T)	2026-09-04	v1.1.0
metric	测量值	OpenTelemetry data-model context	Refers to an individual measured value rather than the metric stream/instrument; avoid treating it as a universal replacement for 指标.	WEB-OTEL-METRICS (T)	2026-09-04	v1.1.0
histogram	直方图	Metrics/statistics; preferred general term	Standard statistical translation and the clearer choice for metric distribution instruments.	WEB-OTEL-METRICS (T);WEB-SW-HTTP (T)	2026-09-04	v1.1.0
histogram	柱状图	SkyWalking eBPF UI/document context	Observed contextual variant. Literally closer to bar chart; can be ambiguous in visualization prose, so retain Histogram in parentheses on first use.	WEB-SW-MESH (T)	2026-09-04	v1.1.0
kernel bypassing	内核旁路	Networking/system architecture	Concise technical noun phrase, common in vendor and networking language.	GE-KMESH	2026-09-04	v1.1.0
kernel bypassing	绕过内核	Explanatory prose	Verb-object phrasing; most natural when describing how a data path operates.	GE-KMESH;GH-EUNOMIA-XDP	2026-09-04	v1.1.0
kernel bypassing	内核绕过	Architecture label	Understandable nominal variant, but less idiomatic than 内核旁路 in many Mainland networking texts.	GE-KMESH	2026-09-04	v1.1.0
observability	可观测性	Mainland China; standard industry usage	Overwhelmingly preferred technical term in the reviewed corpus.	GH-DEEPFLOW;GE-GALA-README;WEB-DEEPFLOW;PDF-DEEPFLOW-TKE	2026-09-04	v1.1.0
observability	可观察性	General-language or older translation	Occasional literal variant; avoid in a modern observability product glossary unless quoting a source.	WEB-SW-HTTP (T)	2026-09-04	v1.1.0
monitoring	监控	Operations/product context	Standard translation for ongoing system observation; narrower than 可观测性.	GH-N9E-README;GE-GALA-README;WEB-SW-MESH (T)	2026-09-04	v1.1.0
telemetry	遥测	Standards and data-pipeline context	Covers machine-generated metrics, logs, and traces and their transport.	GH-CATEGRAF;WEB-OTEL-METRICS (T)	2026-09-04	v1.1.0
signal	信号	OpenTelemetry/observability signal context	Usually appears as 观测信号 or 遥测信号 when referring to metrics, logs, and traces.	WEB-DEEPFLOW;WEB-OTEL-METRICS (T)	2026-09-04	v1.1.0
tracing	追踪	Distributed tracing; DeepFlow/SkyWalking usage	Preferred in the reviewed current product material: 分布式追踪, 自动追踪.	GH-DEEPFLOW;WEB-DEEPFLOW;WEB-SW-HTTP (T)	2026-09-04	v1.1.0
tracing	跟踪	Kernel/I/O diagnostics and some translated documentation	Common in eBPF and kernel prose, especially 跟踪信息 and 路径跟踪.	PDF-COOLBPF;PDF-DEEPFLOW-TKE	2026-09-04	v1.1.0
distributed tracing	分布式追踪	Observability/APM	Preferred current rendering in DeepFlow and much Chinese cloud-native prose.	GH-DEEPFLOW;WEB-DEEPFLOW	2026-09-04	v1.1.0
distributed tracing	分布式链路追踪	Request-path emphasis	Explicitly signals request-chain semantics; common in educational and architecture prose.	WEB-N9E;WEB-SW-HTTP (T)	2026-09-04	v1.1.0
trace	调用链	APM/user-facing noun	Refers to the end-to-end request chain as an object or visualization, not the tracing activity.	WEB-DEEPFLOW;PDF-DEEPFLOW-TKE	2026-09-04	v1.1.0
trace	追踪数据	Telemetry data context	Use when referring to emitted/stored trace records collectively.	WEB-DEEPFLOW;WEB-OTEL-METRICS (T)	2026-09-04	v1.1.0
span	跨度	Literal standards translation	Rare in the reviewed China product corpus; can sound unnatural. Prefer Span retained in API/data-model prose.	WEB-OTEL-METRICS (T)	2026-09-04	v1.1.0
span	调用片段	Explanatory APM prose	Useful explanatory gloss for one timed operation within a trace; introduce as Span（调用片段） rather than silently replacing the model name.	WEB-DEEPFLOW	2026-09-04	v1.1.0
log	日志	All contexts	Standard translation; Log may remain English in API names.	GH-N9E-README;GE-GALA-README;WEB-SW-GO	2026-09-04	v1.1.0
alert	告警	Operations/monitoring	Dominant Mainland operations term for alert noun and verb concepts.	GH-N9E-README;WEB-N9E;PDF-COOLBPF	2026-09-04	v1.1.0
alarm	告警	Operations/monitoring	English alarm and alert often collapse to the same Chinese term; disambiguate only when the product model distinguishes them.	GH-N9E-README;WEB-N9E	2026-09-04	v1.1.0
