source_id	logical_source_id	project_or_publisher	source_type	host	language	content_origin	priority	title	url	canonical_url	retrieval_url	local_path	first_seen_run	last_checked_run	first_seen_date	last_checked_date	content_published_date	content_modified_date	content_hash	translation_method	translator	original_url	quality_status	quality_score	quality_notes	access_status	supersedes_source_id	date	notes	version
GH-N9E-README	GH-N9E-README	Nightingale	README	github.com	zh-CN	original_chinese	primary	Nightingale README (Chinese)	https://github.com/ccfos/nightingale/blob/main/README_zh.md	https://github.com/ccfos/nightingale/blob/main/README_zh.md	https://github.com/ccfos/nightingale/blob/main/README_zh.md	sources/github/nightingale_README_zh.md	pre-ledger-v1.1.0	pre-ledger-v1.1.0	2026-09-04	2026-09-05			5c0ee778d1a3567d916ef426002ab383b7624d63ed31b6c6c5a06e1ea73fa468	not_applicable			accepted	90	Official repository.	accessible_snapshot		2026-09-04	Official repository.	v1.1.0
GH-CATEGRAF	GH-CATEGRAF	Categraf	README	github.com	zh-CN/mixed	original_chinese	primary	Categraf README	https://github.com/flashcatcloud/categraf/blob/main/README.md	https://github.com/flashcatcloud/categraf/blob/main/README.md	https://github.com/flashcatcloud/categraf/blob/main/README.md	sources/github/categraf_README.md	pre-ledger-v1.1.0	pre-ledger-v1.1.0	2026-09-04	2026-09-05			e57f5da959dac2a9b8f405fc496e78439faee8efffdd986163f5a43db66c8541	not_applicable			accepted	90	Official repository.	accessible_snapshot		2026-09-04	Official repository.	v1.1.0
GH-CATEGRAF-CPU	GH-CATEGRAF-CPU	Categraf	plugin documentation	github.com	zh-CN	original_chinese	primary	CPU input documentation	https://github.com/flashcatcloud/categraf/blob/main/inputs/cpu/README_CN.md	https://github.com/flashcatcloud/categraf/blob/main/inputs/cpu/README_CN.md	https://github.com/flashcatcloud/categraf/blob/main/inputs/cpu/README_CN.md	sources/github/categraf_cpu_README_CN.md	pre-ledger-v1.1.0	pre-ledger-v1.1.0	2026-09-04	2026-09-05			ab2739d7e2505fc63f2589403570aca6740bc796caae2c9c7d71f42f3d876b9c	not_applicable			accepted	90	Official Chinese plugin documentation.	accessible_snapshot		2026-09-04	Official Chinese plugin documentation.	v1.1.0
GH-DEEPFLOW	GH-DEEPFLOW	DeepFlow	README	github.com	zh-CN	original_chinese	primary	DeepFlow README (Chinese)	https://github.com/deepflowio/deepflow/blob/main/README-CN.md	https://github.com/deepflowio/deepflow/blob/main/README-CN.md	https://github.com/deepflowio/deepflow/blob/main/README-CN.md	sources/github/deepflow_README-CN.md	pre-ledger-v1.1.0	pre-ledger-v1.1.0	2026-09-04	2026-09-05			d665837db4204028cf09d51881adef136d53fed3888395c6c15957a2219b0a26	not_applicable			accepted	90	Official repository.	accessible_snapshot		2026-09-04	Official repository.	v1.1.0
GH-EUNOMIA-INDEX	GH-EUNOMIA-INDEX	eunomia-bpf	developer tutorial	github.com	zh-CN	original_chinese	primary	eBPF Developer Tutorial index	https://github.com/eunomia-bpf/bpf-developer-tutorial/blob/main/README.zh.md	https://github.com/eunomia-bpf/bpf-developer-tutorial/blob/main/README.zh.md	https://github.com/eunomia-bpf/bpf-developer-tutorial/blob/main/README.zh.md	sources/github/eunomia_tutorial_README.zh.md	pre-ledger-v1.1.0	pre-ledger-v1.1.0	2026-09-04	2026-09-05			1890410b27a4d786c07f95856d940e7bfb2463967ab146c2db8ac26fc9c01b40	not_applicable			accepted	90	Official Chinese tutorial.	accessible_snapshot		2026-09-04	Official Chinese tutorial.	v1.1.0
GH-EUNOMIA-INTRO	GH-EUNOMIA-INTRO	eunomia-bpf	developer tutorial	github.com	zh-CN	original_chinese	primary	eBPF introduction	https://github.com/eunomia-bpf/bpf-developer-tutorial/blob/main/src/0-introduce/README.zh.md	https://github.com/eunomia-bpf/bpf-developer-tutorial/blob/main/src/0-introduce/README.zh.md	https://github.com/eunomia-bpf/bpf-developer-tutorial/blob/main/src/0-introduce/README.zh.md	sources/github/eunomia_00_introduce.zh.md	pre-ledger-v1.1.0	pre-ledger-v1.1.0	2026-09-04	2026-09-05			bf4ba44e5aa31888b604dad7d7be0f8e4bd885c4f1d47e7d69f4c5928de0c43e	not_applicable			accepted	90	Terminology-dense overview.	accessible_snapshot		2026-09-04	Terminology-dense overview.	v1.1.0
GH-EUNOMIA-PROFILE	GH-EUNOMIA-PROFILE	eunomia-bpf	developer tutorial	github.com	zh-CN	original_chinese	primary	Profile tutorial	https://github.com/eunomia-bpf/bpf-developer-tutorial/blob/main/src/12-profile/README.zh.md	https://github.com/eunomia-bpf/bpf-developer-tutorial/blob/main/src/12-profile/README.zh.md	https://github.com/eunomia-bpf/bpf-developer-tutorial/blob/main/src/12-profile/README.zh.md	sources/github/eunomia_12_profile.zh.md	pre-ledger-v1.1.0	pre-ledger-v1.1.0	2026-09-04	2026-09-05			6e1a9b8fcd797b7cdafb447b2a73f157e5fd8721dbaa72396409b7d118b72253	not_applicable			accepted	90	Profiling and stack terminology.	accessible_snapshot		2026-09-04	Profiling and stack terminology.	v1.1.0
GH-EUNOMIA-TC	GH-EUNOMIA-TC	eunomia-bpf	developer tutorial	github.com	zh-CN	original_chinese	primary	TC tutorial	https://github.com/eunomia-bpf/bpf-developer-tutorial/blob/main/src/20-tc/README.zh.md	https://github.com/eunomia-bpf/bpf-developer-tutorial/blob/main/src/20-tc/README.zh.md	https://github.com/eunomia-bpf/bpf-developer-tutorial/blob/main/src/20-tc/README.zh.md	sources/github/eunomia_20_tc.zh.md	pre-ledger-v1.1.0	pre-ledger-v1.1.0	2026-09-04	2026-09-05			e9b776c121bcf09232430ff17eba2e116638f8e24f1f6fc62754dcdacd344405	not_applicable			accepted	90	Traffic-control terminology.	accessible_snapshot		2026-09-04	Traffic-control terminology.	v1.1.0
GH-EUNOMIA-XDP	GH-EUNOMIA-XDP	eunomia-bpf	developer tutorial	github.com	zh-CN	original_chinese	primary	XDP tutorial	https://github.com/eunomia-bpf/bpf-developer-tutorial/blob/main/src/21-xdp/README.zh.md	https://github.com/eunomia-bpf/bpf-developer-tutorial/blob/main/src/21-xdp/README.zh.md	https://github.com/eunomia-bpf/bpf-developer-tutorial/blob/main/src/21-xdp/README.zh.md	sources/github/eunomia_21_xdp.zh.md	pre-ledger-v1.1.0	pre-ledger-v1.1.0	2026-09-04	2026-09-05			08e9c8f7f31951cfe0cc43eeec7887e07de87e0fc3fc1b9661f1d7570ea324b3	not_applicable			accepted	90	Fast-path and packet-processing terminology.	accessible_snapshot		2026-09-04	Fast-path and packet-processing terminology.	v1.1.0
GH-COOLBPF-AGENTSIGHT	GH-COOLBPF-AGENTSIGHT	CoolBPF	README	github.com	zh-CN	original_chinese	primary	AgentSight README (Chinese)	https://github.com/aliyun/coolbpf/blob/master/src/agentsight/README_zh.md	https://github.com/aliyun/coolbpf/blob/master/src/agentsight/README_zh.md	https://github.com/aliyun/coolbpf/blob/master/src/agentsight/README_zh.md	sources/github/coolbpf_agentsight_README_zh.md	pre-ledger-v1.1.0	pre-ledger-v1.1.0	2026-09-04	2026-09-05			a6537ca84f1883f4e2175f232e5070b03496ae1d4b2dcd76df93b864eb8c4fa1	not_applicable			accepted	90	Official Alibaba repository documentation.	accessible_snapshot		2026-09-04	Official Alibaba repository documentation.	v1.1.0
