candidate_id	first_seen_run	discovered_at	title	publisher_or_account	canonical_url	retrieval_url	platform	suspected_origin	candidate_status	notes
WC-2026-0001	2026-09-05-wechat-discovery-01	2026-09-05	openEuler 可观测性技术文章	openEuler	https://mp.weixin.qq.com/s/OdDy1sNoQNy5zUwMxxAG_A	https://mp.weixin.qq.com/s/OdDy1sNoQNy5zUwMxxAG_A	WeChat	original_chinese	pending_review	Canonical URL discovered through an official or attributed index; direct retrieval returned a verification challenge, so article content and authorship remain to be reviewed.
WC-2026-0002	2026-09-05-wechat-discovery-01	2026-09-05	开启 eBPF 前，你需要知道这些	DeepFlow / 云杉网络	https://mp.weixin.qq.com/s/mOS0XBWxtNhuVJ35qg_M_Q	https://mp.weixin.qq.com/s/mOS0XBWxtNhuVJ35qg_M_Q	WeChat	original_chinese	pending_review	Canonical URL discovered through an official or attributed index; direct retrieval returned a verification challenge, so article content and authorship remain to be reviewed.
WC-2026-0003	2026-09-05-wechat-discovery-01	2026-09-05	DeepFlow eBPF 深度实践	DeepFlow / 云杉网络	https://mp.weixin.qq.com/s/0IUvaPpjsXl7zXw8E3LSSg	https://mp.weixin.qq.com/s/0IUvaPpjsXl7zXw8E3LSSg	WeChat	original_chinese	pending_review	Canonical URL discovered through an official or attributed index; direct retrieval returned a verification challenge, so article content and authorship remain to be reviewed.
WC-2026-0004	2026-09-05-wechat-discovery-01	2026-09-05	滴滴 eBPF 技术实践	滴滴技术	https://mp.weixin.qq.com/s/nqgec7BLov0o9IycDAnk2A	https://mp.weixin.qq.com/s/nqgec7BLov0o9IycDAnk2A	WeChat	original_chinese	pending_review	Canonical URL discovered through an official or attributed index; direct retrieval returned a verification challenge, so article content and authorship remain to be reviewed.
WC-2026-0005	2026-09-05-wechat-discovery-01	2026-09-05	夜莺监控开源发布文章	夜莺监控	https://mp.weixin.qq.com/s/zvHQVBgU2IFUUYyzeDlokw	https://mp.weixin.qq.com/s/zvHQVBgU2IFUUYyzeDlokw	WeChat	original_chinese	pending_review	Canonical URL discovered through an official or attributed index; direct retrieval returned a verification challenge, so article content and authorship remain to be reviewed.
WC-2026-0006	2026-09-05-wechat-discovery-01	2026-09-05	夜莺监控使用教程	夜莺监控	https://mp.weixin.qq.com/s/4xlbWjclbSyCn91HpVRT9g	https://mp.weixin.qq.com/s/4xlbWjclbSyCn91HpVRT9g	WeChat	original_chinese	pending_review	Canonical URL discovered through an official or attributed index; direct retrieval returned a verification challenge, so article content and authorship remain to be reviewed.
WC-2026-0007	2026-09-05-wechat-discovery-01	2026-09-05	百度分布式追踪实践	百度云原生	https://mp.weixin.qq.com/s/FyPaifHGs3knCcHmjMGVqg	https://mp.weixin.qq.com/s/FyPaifHGs3knCcHmjMGVqg	WeChat	original_chinese	pending_review	Canonical URL discovered through an official or attributed index; direct retrieval returned a verification challenge, so article content and authorship remain to be reviewed.
WC-2026-0008	2026-09-05-wechat-discovery-01	2026-09-05	内核旁路技术文章	待核实	https://mp.weixin.qq.com/s/lDhCoLN0mknquJcO15Fd2Q	https://mp.weixin.qq.com/s/lDhCoLN0mknquJcO15Fd2Q	WeChat	original_chinese	pending_review	Canonical URL discovered through an official or attributed index; direct retrieval returned a verification challenge, so article content and authorship remain to be reviewed.
WC-2026-0009	2026-09-05-wechat-discovery-01	2026-09-05	HUATUO 安装与使用	HUATUO 开源技术	https://mp.weixin.qq.com/s/Gmst4_FsbXUIhuJw1BXNnQ	https://mp.weixin.qq.com/s/Gmst4_FsbXUIhuJw1BXNnQ	WeChat	original_chinese	pending_review	Canonical URL discovered through an official or attributed index; direct retrieval returned a verification challenge, so article content and authorship remain to be reviewed.
WC-2026-0010	2026-09-05-wechat-discovery-01	2026-09-05	Kube-OVN 与 DeepFlow 可观测性活动	Kube-OVN / DeepFlow	https://mp.weixin.qq.com/s/z0xLlYpSdCi_k2fCxuUW9w	https://mp.weixin.qq.com/s/z0xLlYpSdCi_k2fCxuUW9w	WeChat	original_chinese	pending_review	Canonical URL discovered through an official or attributed index; direct retrieval returned a verification challenge, so article content and authorship remain to be reviewed.
